,compound,date,handle,negative,neutral,positive,text,tweets_ago
0,0.0,Mon Jul 02 07:27:05 +0000 2018,@BBC,0.0,1.0,0.0,An experiment using a vending machine specifically designed for crows has revealed something about how intelligence… https://t.co/ND20eqlIZ3,0
1,0.0,Mon Jul 02 07:03:02 +0000 2018,@BBC,0.0,1.0,0.0,🏃🏻‍♂️ This Scottish teenager has mind-blowing #parkour skills. https://t.co/SlvAKocTJ2,1
2,0.8299,Sun Jul 01 20:43:50 +0000 2018,@BBC,0.0,0.71,0.29,"RT @BBC6Music: 👏 What was the best gig you saw in June?

🎟 What exciting things have you got coming up in July?",2
3,0.6588,Sun Jul 01 19:36:52 +0000 2018,@BBC,0.0,0.845,0.155,"RT @bbc5live: “We said jokingly, ‘is it a shark?!’” 😲🦈

A great white shark has been spotted in Spanish waters for the first time in over 4…",3
4,0.4019,Sun Jul 01 19:27:02 +0000 2018,@BBC,0.0,0.87,0.13,"Get unprecedented access to the hidden world of elite gymnasts in Russia. 🤸‍♀️

Storyville: Olympic Dreams of Russi… https://t.co/2ZhaGsysoa",4
5,-0.2957,Sun Jul 01 19:02:03 +0000 2018,@BBC,0.176,0.657,0.168,"✈️🌍 @RomeshRanga travels way beyond his comfort zone to some of the most beautiful, but dangerous, places on earth.… https://t.co/ud4Vni3WW2",5
6,-0.0516,Sun Jul 01 18:00:19 +0000 2018,@BBC,0.273,0.515,0.211,"Why were these photos of the Great Depression censored using a hole punch?
https://t.co/LijCpCURdC",6
7,0.5994,Sun Jul 01 17:58:17 +0000 2018,@BBC,0.0,0.822,0.178,"RT @BBCSport: Two-time champion Andy Murray has withdrawn from #Wimbledon on the eve of the tournament.

More: https://t.co/Ngi3D5UZQF http…",7
8,0.0,Sun Jul 01 17:07:02 +0000 2018,@BBC,0.0,1.0,0.0,Experienced sailor Emily Penn has set out with an all-female crew to investigate the world's largest accumulation o… https://t.co/WQ0W3RPHRk,8
9,0.0,Sun Jul 01 16:32:14 +0000 2018,@BBC,0.0,1.0,0.0,"RT @BBCMOTD: Bring on penalties!

#ESPRUS #WorldCup https://t.co/feSCpfSUWI",9
10,0.0,Sun Jul 01 16:06:03 +0000 2018,@BBC,0.0,1.0,0.0,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/S6gXo5Yfgv",10
11,0.0,Sun Jul 01 15:07:02 +0000 2018,@BBC,0.0,1.0,0.0,When Natasha was 14 she had nowhere to call home. https://t.co/O5w2JzIWFh,11
12,0.9096,Sun Jul 01 14:19:37 +0000 2018,@BBC,0.0,0.582,0.418,RT @BBCTwo: Happy #CanadaDay to the hilarious @kathbum! Here are all your very best bits from #LiveAtTheApollo! ❤️🇨🇦 https://t.co/VHpkGeR2ia,12
13,0.5574,Sun Jul 01 13:32:20 +0000 2018,@BBC,0.0,0.841,0.159,"RT @BBCScotland: The remarkable Viking discovery on the Isle of Skye.

See more from Scotland from the Sky https://t.co/FRtwE5IzGA https://…",13
14,0.0516,Sun Jul 01 13:08:41 +0000 2018,@BBC,0.252,0.485,0.262,RT @bbcthree: Georgina organises parties to help combat loneliness. She's 96 years old. https://t.co/VGZ1LB6FoW,14
15,0.5859,Sun Jul 01 13:04:05 +0000 2018,@BBC,0.0,0.678,0.322,❤️ What a lovely thing to do for someone. https://t.co/goE9GEi8k0,15
16,-0.296,Sun Jul 01 11:53:09 +0000 2018,@BBC,0.145,0.855,0.0,"RT @bbcstories: The incredible 23-year-old @SherrieSilver, who choreographed Childish Gambino's (@donaldglover’s) #ThisIsAmerica video, say…",16
17,0.7269,Sun Jul 01 11:52:12 +0000 2018,@BBC,0.0,0.747,0.253,"RT @bbcarts: David Attenborough on the artistic abilities of animals, including the great reed warbler, peacock jumping spider and Japanese…",17
18,0.0,Sun Jul 01 11:04:03 +0000 2018,@BBC,0.0,1.0,0.0,Got a sour taste in your mouth? https://t.co/sFxRSJzwaN,18
19,-0.7003,Sun Jul 01 10:08:02 +0000 2018,@BBC,0.266,0.734,0.0,"☄️🔭 71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. https://t.co/fjWUaZC4zQ",19
20,0.4303,Sun Jul 01 09:03:08 +0000 2018,@BBC,0.07,0.742,0.188,🇬🇧 Life on Great Britain's outer islands is not always easy - but that hasn't stopped people making them their home… https://t.co/5654v897yH,20
